,SiteCode,IGBP_vegetation_short,Previous IGBP,CABLE_PFT,CABLE_patchfrac,Source_CABLE_PFT,Change,Matches modeval?,Comment,VegDEc,Ref
3,AR-SLu,MF,,5,1,"Anna (see ref, picture in particular)",x,yes,,Native forest vegetation (San Luis site) is dominated by trees which coexist with bush and herbaceous strata,"Ulke, A. G., Gattinoni, N. N. and Posse, G.: Analysis and modelling of turbulent fluxes in two different ecosystems in Argentina, Int. J. Environ. Pollut., 58(1-2), 52–62, 2015."
9,AT-Neu,GRA,,6,1,Juergen,,yes,,,
16,AU-ASM,ENF,,1,1,IGBP,,yes,,,
18,AU-Cow,EBF,,2,1,IGBP,,no (DBF),,,
19,AU-Cpr,SAV,,"2,6,7,14","0.08,0.62,0.06,0.24","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,yes,9% C4,,
20,AU-Ctr,EBF,,2,1,IGBP,,no (DBF),,,
21,AU-Cum,EBF,,2,1,IGBP,,yes,,,
22,AU-DaP,GRA,,7,1,"Anna (see ref, C4 fraction from International Satellite Land Surface Climatology381 Project Initiative II)",x,yes,100% C4,"The flux tower site was identified as tropical pasture, and the vegetation was dominated by species Chamaecrista rotundifolia (Round-leaf cassia cv. Wynn), Digitaria milijiana (Jarra grass) and Aristida sp. standing at approximately 0.3m tall. ",
23,AU-DaS,SAV,,"2,7,14","0.09,0.8,0.11","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,yes,100% C4,,
25,AU-Dry,SAV,,"2,7,14","0.07,0.76,0.17","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,yes,100% C4,,
26,AU-Emr,GRA,,"6,7","0.64,0.36","Anna (see ref, C4 fraction from International Satellite Land Surface Climatology381 Project Initiative II)",x,yes,36% C4,,
29,AU-Gin,WSA,,"2,6,14","0.23,0.66,0.11","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,yes,0% C4,,
30,AU-GWW,SAV,,"2,6,14","0.11,0.50,0.39","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,yes,0% C4,,
31,AU-How,WSA,,"2,6,7,14","0.21,0.14,0.58,0.07","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,yes,80% C4 (coordinate adjusted to closest available grid cell),,
33,AU-Lit,WSA,,"2,6,7,14","0.18,0.15,0.60,0.07","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,yes,80% C4 (coordinate adjusted to closest available grid cell),,
37,AU-Otw,GRA,,6,1,IGBP,x,yes,,,
40,AU-Rig,GRA,,6,1,"Anna (see ref, C4 fraction from International Satellite Land Surface Climatology381 Project Initiative II)",x,yes,0% C4,,
41,AU-Rob,EBF,,2,1,IGBP,,yes,,,
42,AU-Sam,GRA,,10,1,Anna (see vegetation description),x,yes,,,
43,AU-Stp,GRA,,10,1,Anna (see vegetation description),x,yes,,,
44,AU-TTE,OSH,,"1,7,14","0.03,0.64,0.33","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,yes,100% C4,,
45,AU-Tum,EBF,,2,1,IGBP,,yes,,,
48,AU-Whr,EBF,,2,1,IGBP,,yes,,,
50,AU-Wrr,EBF,,2,1,IGBP,,yes,,,
51,AU-Ync,GRA,,"6,7","0.86,0.14","Anna (see ref, C4 fraction from International Satellite Land Surface Climatology381 Project Initiative II)",x,yes,14% C4,,
53,BE-Bra,MF,,"1,4","0.8,0.2","Anna (see ref, mixed but tower surrounded by ENF)",x,yes,,"The LTER-site of Brasschaat is a 2 ha scientific zone in a first generation plantation (1929) of Scots pine (Pinus sylvestris L.) on former heathland located in a mixed coniferous/deciduous forest in the Campine plain of Flanders. The landscape is flat, with a gentle (0.3%) slope at a mean elevation of 16 m. To the South and East, the forest extends over 2 km before turning into rural, partially forested terrain.",https://modelevaluation.org/dataSet/display/jkFQ3bTQwACtxPuaw
57,BE-Lon,CRO,,9,1,Juergen,,yes,,,
59,BE-Vie,MF,,"1,4","0.5,0.5","Anna (see ref, can't work out fraction so 50:50)",x,yes,,"The site is a mixed mature forest composed mainly of Fagus Sylvatica, Pseudotsuga menziesii and Picea abies. The soil (100-150 cm deep) is a silty and stony soil with B structural horizon composed by schist and phyllades",https://modelevaluation.org/dataSet/display/5LXPhFLjahTPRKpJ5
78,BR-Sa3,EBF,,2,1,IGBP,,yes,,,
87,BW-Ma1,SAV,,"2,6,7,14","0.03,0.51,0.18,0.28","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,no (WSA),26% C4,,
108,CA-NS1,ENF,,1,1,IGBP,,yes,,,
109,CA-NS2,ENF,,1,1,IGBP,,yes,,,
111,CA-NS4,ENF,,1,1,IGBP,,yes,,,
112,CA-NS5,ENF,,1,1,IGBP,,yes,,,
113,CA-NS6,OSH,,"5,6","0.5,0.5","Anna (no modis tree frac available, C4 from ISLSCP II. No other info available, setting 50:50 shrub/grass)",x,yes,0% C4,,
114,CA-NS7,OSH,,"5,6","0.5,0.5","Anna (no modis tree frac available, C4 from ISLSCP II. No other info available, setting 50:50 shrub/grass)",x,yes,0% C4,,
120,CA-Qcu,ENF,,1,1,IGBP,,yes,,,
121,CA-Qfo,ENF,,1,1,IGBP,,yes,,,
122,CA-SF1,ENF,,1,1,IGBP,,yes,,,
123,CA-SF2,ENF,,1,1,IGBP,,yes,,,
124,CA-SF3,OSH,,"5,6","0.5,0.5","Anna (no modis tree frac available, C4 from ISLSCP II. No other info available, setting 50:50 shrub/grass)",x,yes,0% C4,,
143,CH-Cha,GRA,,6,1,"Anna (temperate site, setting all C3)",x,yes,,"Intensively managed grassland, about 400 m asl, located in a pre-alpine valley bottom. ",https://gl.ethz.ch/infrastructure/sites/chamau.html
144,CH-Dav,ENF,,1,1,IGBP,,yes,,,
146,CH-Fru,GRA,,6,1,"Anna (temperate site, setting all C3)",x,yes,,Medium intensively managed grassland at 1000 m asl.,https://gl.ethz.ch/infrastructure/sites/frueebueel.html
148,CH-Oe1,GRA,,6,1,Juergen,,yes,,,
156,CN-Cha,MF,,"1,4,5","0.4,0.4,0.2","Anna (no fraction available, setting 50:50 DBF/ENF, with a small shrub component)",x,yes,,"The area surrounding the site was covered by a mixed forest consisting of over 200 uneven-aged species including Korean pine (Pinus koraiensis), Amur linden (Tilia amurensis), Mono maple (Acer mono), Manchurian ash (Fraxinus mandshurica) and Mongolian oak (Quercus mongolica). The mean canopy height was 26 m. A dense understory, consisting of broad-leaved shrubs, was 0.5 -- 2 m tall. ",
157,CN-Cng,GRA,,"6,7","0.47,0.53","Anna (see ref, C4 fraction from International Satellite Land Surface Climatology381 Project Initiative II)",x,yes,,,
161,CN-Dan,GRA,,6,1,"Anna (temperate site, setting all C3)",x,yes,,,
164,CN-Din,EBF,,2,1,IGBP,x,yes,,,
169,CN-Du2,GRA,,6,1,Juergen,,yes,,,
176,CN-HaM,GRA,,6,1,Juergen,,yes,,,
190,CN-Qia,ENF,,1,1,IGBP,,yes,,,
208,CZ-wet,WET,,11,1,IGBP,,yes,,,
210,DE-Bay,ENF,MF,1,1,Anna (see ref),x,yes,,"Norway spruce (Picea abies), 25 m high, age 55 years (2008); Understory: Calamagrostis villosa, Deschampsia lexuosa, Vaccinium myrtikkus, Dryopteris ilatata, Oxalis acetosella, Dicranum coparium",https://www.bayceer.uni-bayreuth.de/mm/en/forschung/proj/m_detail.php?id_obj=78292
214,DE-Geb,CRO,,9,1,Juergen,,yes,,,
215,DE-Gri,GRA,,6,1,Juergen,,yes,,,
218,DE-Hai,DBF,,4,1,IGBP,,yes,,,
223,DE-Kli,CRO,,9,1,"Anna (see vegetation description, mainly C3)",x,yes,,"The ecosystem is an intensively managed farmland (5-year crop rotation including rapeseed, winter wheat, maize, spring barley and winter barley)",
227,DE-Meh,MF,CRO,"1,4,6","0.5,0.1,0.4","Anna (young mixed forest, no fractions available. Estimated from PALS pictures)",,yes,,"Reforestation area, Plots with differing tree species diversity, Vegetation height variable",
229,DE-Obe,ENF,,1,1,IGBP,,yes,,,
235,DE-Seh,CRO,,9,1,Juergen,,yes,,,
236,DE-SfN,WET,,"1,11","0.5,0.5","Anna (some pines, giving 50:50 fractions)",x,yes,,"The ICOS “associated site” (class 3) Schechenfilz (47.806°N 11.328°E, 590 m a.s.l) is a 111 ha large near-natural bog-ecosystem. The ICOS measurement station is located in the center of the bog, which is characterized by slow growing bog-pines (Pinus mugo ssp. rotundata) with an average height of only 2 m.",
240,DE-Tha,ENF,,1,1,IGBP,,yes,,,
241,DE-Wet,ENF,,1,1,IGBP,,yes,,,
244,DK-Fou,CRO,,9,1,Juergen,,yes,,,
